epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,673.985,0.64862,3.15798,0.12036,0.46637,0.92211,0.91962,0.9366,0.97507,0.64494,0.43127,0.34714,0.26278,0.11931,1.13845,5.98601,0.11612,0.66255,1.16216,0.000676802,0.000676802,0.000676802
62,683.806,0.65812,3.38119,0.1471,0.48795,0.9301,0.84216,0.94987,0.95733,0.65739,0.45087,0.365,0.29815,0.13219,1.10559,5.92709,0.14085,0.6709,1.15181,0.000660299,0.000660299,0.000660299
63,693.766,0.64311,3.53211,0.15793,0.48042,0.92329,0.91454,0.84857,0.93948,0.62323,0.51575,0.385,0.32554,0.1276,1.18622,6.11141,0.19316,0.67665,1.19965,0.000643795,0.000643795,0.000643795
64,702.895,0.68185,3.29156,0.14527,0.49051,0.92389,0.95286,0.89042,0.97531,0.61157,0.50667,0.36714,0.29481,0.12604,1.22293,6.05192,0.19638,0.6361,1.20939,0.000627292,0.000627292,0.000627292
65,716.004,0.64212,3.13826,0.16212,0.46705,0.94911,0.87884,0.91993,0.96396,0.61915,0.54933,0.385,0.31715,0.12773,1.16544,5.83275,0.20192,0.64219,1.18275,0.000610789,0.000610789,0.000610789
66,730.762,0.66485,3.39492,0.15677,0.47733,0.93516,0.91524,0.86643,0.93941,0.61773,0.66752,0.44286,0.448,0.17975,1.17186,5.62537,0.20092,0.66041,1.17585,0.000594286,0.000594286,0.000594286
67,741.353,0.64076,3.24725,0.15424,0.47362,0.91962,0.95088,0.86643,0.95132,0.64356,0.6419,0.44286,0.42903,0.1566,1.14523,5.65355,0.20392,0.65699,1.13673,0.000577782,0.000577782,0.000577782
68,754.648,0.6271,3.05109,0.14475,0.45067,0.89799,0.91958,0.92058,0.96001,0.63994,0.6197,0.42286,0.38481,0.14451,1.15845,5.69908,0.25138,0.62167,1.16026,0.000561279,0.000561279,0.000561279
69,764.216,0.57137,2.90769,0.13207,0.42013,0.89897,0.94157,0.88429,0.96053,0.65747,0.48831,0.385,0.33398,0.12847,1.1276,5.76511,0.23223,0.64876,1.14262,0.000544776,0.000544776,0.000544776
70,773.381,0.56522,2.8227,0.12489,0.41572,0.88669,0.93181,0.89989,0.9762,0.65024,0.53821,0.35166,0.33725,0.13047,1.10659,5.83467,0.19018,0.65119,1.12208,0.000528272,0.000528272,0.000528272
