epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,48870.5,1.34951,0.62082,0.87838,0.9019,0.84333,0.89692,0.57707,1.49921,0.93689,0.90813,0.0002674,0.0002674,0.0002674
76,49521.9,1.36895,0.62718,0.87854,0.90228,0.85539,0.8994,0.58861,1.46317,0.96168,0.8921,0.0002575,0.0002575,0.0002575
77,50167.6,1.35757,0.62293,0.88013,0.89822,0.84837,0.89884,0.586,1.4795,0.86629,0.89703,0.0002476,0.0002476,0.0002476
78,50833.8,1.34831,0.61726,0.87564,0.89983,0.85048,0.89777,0.58339,1.4903,0.93093,0.90541,0.0002377,0.0002377,0.0002377
79,51504.6,1.3349,0.61764,0.87771,0.90542,0.86089,0.90419,0.58076,1.4999,0.91749,0.90036,0.0002278,0.0002278,0.0002278
80,52160,1.33311,0.61125,0.87469,0.91238,0.84683,0.9065,0.58427,1.47857,0.90849,0.9023,0.0002179,0.0002179,0.0002179
81,52806.6,1.31676,0.60455,0.87427,0.87836,0.86429,0.90392,0.58197,1.47076,0.85899,0.90116,0.000208,0.000208,0.000208
82,53455.8,1.32923,0.60806,0.87876,0.90625,0.86303,0.90582,0.59059,1.46274,0.84348,0.90031,0.0001981,0.0001981,0.0001981
83,54106.5,1.31388,0.60115,0.87444,0.89628,0.84588,0.90321,0.58735,1.4775,0.89664,0.90839,0.0001882,0.0001882,0.0001882
84,54753.6,1.32341,0.605,0.87285,0.90308,0.85418,0.90679,0.59004,1.48602,0.82001,0.90698,0.0001783,0.0001783,0.0001783
85,55439.4,1.29964,0.59852,0.87032,0.90556,0.85921,0.91012,0.58906,1.47138,0.90183,0.90492,0.0001684,0.0001684,0.0001684
86,56127.7,1.30704,0.60002,0.87362,0.91746,0.85822,0.90671,0.58943,1.47734,0.86841,0.90676,0.0001585,0.0001585,0.0001585
87,56847.9,1.30102,0.59667,0.87235,0.91395,0.85594,0.90817,0.59502,1.45622,0.88093,0.89677,0.0001486,0.0001486,0.0001486
88,57512.8,1.27887,0.59178,0.87211,0.89763,0.87371,0.91583,0.59438,1.47153,0.89663,0.90684,0.0001387,0.0001387,0.0001387
89,58169.7,1.29103,0.59258,0.86842,0.90548,0.85499,0.90202,0.59219,1.45297,0.86189,0.89738,0.0001288,0.0001288,0.0001288
90,58903,1.29505,0.59448,0.86985,0.90718,0.85739,0.90846,0.59399,1.45915,0.82961,0.89871,0.0001189,0.0001189,0.0001189
91,59604.8,1.26706,0.58463,0.87582,0.90143,0.85525,0.9048,0.58288,1.45986,0.90402,0.8944,0.000109,0.000109,0.000109
92,60302,1.26385,0.5807,0.87496,0.89641,0.86108,0.8998,0.58717,1.44752,0.90927,0.89424,9.91e-05,9.91e-05,9.91e-05
93,60974,1.25279,0.57511,0.87306,0.87607,0.88029,0.90853,0.59097,1.44791,0.85521,0.89181,8.92e-05,8.92e-05,8.92e-05
94,61643.1,1.24378,0.57021,0.87106,0.892,0.87568,0.91031,0.59761,1.45356,0.82325,0.89548,7.93e-05,7.93e-05,7.93e-05
95,62333.4,1.22965,0.56521,0.86842,0.88119,0.87435,0.90952,0.5969,1.46194,0.82802,0.89664,6.94e-05,6.94e-05,6.94e-05
96,63053.1,1.21964,0.56599,0.86803,0.89486,0.8674,0.91131,0.60161,1.44142,0.83297,0.89124,5.95e-05,5.95e-05,5.95e-05
97,63751,1.21647,0.56227,0.86637,0.89633,0.8636,0.90686,0.59945,1.44818,0.84532,0.89336,4.96e-05,4.96e-05,4.96e-05
98,64444.5,1.21475,0.56093,0.86731,0.90003,0.87166,0.90733,0.59918,1.44686,0.82677,0.89089,3.97e-05,3.97e-05,3.97e-05
99,65117.2,1.22147,0.56101,0.86886,0.89385,0.86953,0.91158,0.59765,1.44865,0.82883,0.89138,2.98e-05,2.98e-05,2.98e-05
100,65778.6,1.20924,0.55454,0.86377,0.89816,0.87043,0.90942,0.59957,1.44662,0.82142,0.89263,1.99e-05,1.99e-05,1.99e-05
